a,b,c,l,accu_a,slope_a,accu_b,slope_b,accu_c,slope_c
1.53,1.00,0.33,-0.47,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.33,-0.37,1.00,0.05,1.00,-4.67,nan,0.00
1.53,1.00,0.33,-0.26,1.00,0.05,1.00,-0.45,nan,0.00
1.53,1.00,0.33,-0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.33,-0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.33,0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.33,0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.33,0.26,1.00,0.05,0.98,0.05,nan,0.00
1.53,1.00,0.33,0.37,1.00,0.05,0.96,-0.25,nan,0.00
1.53,1.00,0.33,0.47,1.00,-0.05,1.00,-0.05,nan,0.00
1.53,1.00,0.33,0.58,1.00,0.05,1.00,-0.15,nan,0.00
1.53,1.00,0.33,0.68,1.00,0.05,0.99,-0.25,nan,0.00
1.53,1.00,0.33,0.79,1.00,0.05,0.99,-0.05,1.00,-10.00
1.53,1.00,0.33,0.89,1.00,0.05,0.96,-0.05,nan,0.00
1.53,1.00,0.33,1.00,1.00,0.05,0.97,-0.15,1.00,-10.00
1.53,1.00,0.44,-1.00,1.00,0.15,1.00,-1.86,nan,0.00
1.53,1.00,0.44,-0.89,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.44,-0.79,1.00,0.05,1.00,-4.67,nan,0.00
1.53,1.00,0.44,-0.68,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.44,-0.58,1.00,0.05,1.00,-0.45,nan,0.00
1.53,1.00,0.44,-0.47,1.00,0.05,1.00,-3.77,nan,0.00
1.53,1.00,0.44,-0.37,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.44,-0.26,1.00,-0.05,1.00,-2.36,nan,0.00
1.53,1.00,0.44,-0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.44,-0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.44,0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.44,0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.44,0.26,1.00,-0.05,0.98,-0.15,nan,0.00
1.53,1.00,0.44,0.37,1.00,0.05,1.00,-0.15,nan,0.00
1.53,1.00,0.44,0.47,1.00,0.05,0.98,0.05,nan,0.00
1.53,1.00,0.44,0.58,1.00,0.05,1.00,-0.05,1.00,-10.00
1.53,1.00,0.44,0.68,1.00,0.05,1.00,-0.15,1.00,-10.00
1.53,1.00,0.44,0.79,1.00,0.05,0.99,-0.15,nan,0.00
1.53,1.00,0.44,0.89,1.00,0.05,0.98,-0.05,1.00,-10.00
1.53,1.00,0.44,1.00,1.00,0.05,0.99,-0.25,nan,0.00
1.53,1.00,0.56,-1.00,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.56,-0.89,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.56,-0.79,1.00,0.15,1.00,-3.77,nan,0.00
1.53,1.00,0.56,-0.68,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.56,-0.58,1.00,0.05,1.00,-0.55,nan,0.00
1.53,1.00,0.56,-0.47,1.00,0.05,1.00,-3.77,nan,0.00
1.53,1.00,0.56,-0.37,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.56,-0.26,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.56,-0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.56,-0.05,1.00,-0.15,nan,0.00,nan,0.00
1.53,1.00,0.56,0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.56,0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.56,0.26,1.00,0.05,0.97,-0.25,nan,0.00
1.53,1.00,0.56,0.37,1.00,-0.05,0.98,0.05,nan,0.00
1.53,1.00,0.56,0.47,1.00,-0.05,0.98,-0.05,nan,0.00
1.53,1.00,0.56,0.58,1.00,0.05,1.00,-0.15,1.00,-10.00
1.53,1.00,0.56,0.68,1.00,0.05,0.99,-0.05,nan,0.00
1.53,1.00,0.56,0.79,1.00,0.05,0.98,-0.05,1.00,-10.00
1.53,1.00,0.56,0.89,1.00,0.05,0.97,-0.15,1.00,-10.00
1.53,1.00,0.56,1.00,1.00,0.05,0.98,-0.25,1.00,-10.00
1.53,1.00,0.67,-1.00,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.67,-0.89,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.67,-0.79,1.00,0.15,1.00,-2.76,nan,0.00
1.53,1.00,0.67,-0.68,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.67,-0.58,1.00,-0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.67,-0.47,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.67,-0.37,1.00,-0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.67,-0.26,1.00,0.05,1.00,-0.45,nan,0.00
1.53,1.00,0.67,-0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.67,-0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.67,0.05,1.00,-0.15,nan,0.00,nan,0.00
1.53,1.00,0.67,0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.67,0.26,1.00,-0.05,0.98,-0.15,nan,0.00
1.53,1.00,0.67,0.37,1.00,0.05,0.98,-0.05,nan,0.00
1.53,1.00,0.67,0.47,1.00,0.05,1.00,0.05,nan,0.00
1.53,1.00,0.67,0.58,1.00,0.05,1.00,-0.05,1.00,-10.00
1.53,1.00,0.67,0.68,1.00,0.05,0.99,-0.05,nan,0.00
1.53,1.00,0.67,0.79,1.00,0.05,0.97,-0.05,1.00,-10.00
1.53,1.00,0.67,0.89,1.00,0.05,0.99,-0.05,1.00,-10.00
1.53,1.00,0.67,1.00,1.00,0.05,1.00,-0.05,1.00,-10.00
1.53,1.00,0.78,-1.00,1.00,0.05,1.00,-2.76,nan,0.00
1.53,1.00,0.78,-0.89,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.78,-0.79,1.00,0.05,1.00,-3.77,nan,0.00
1.53,1.00,0.78,-0.68,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.78,-0.58,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.78,-0.47,1.00,0.05,1.00,-2.76,nan,0.00
1.53,1.00,0.78,-0.37,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.78,-0.26,1.00,0.05,1.00,-0.45,nan,0.00
1.53,1.00,0.78,-0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.78,-0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.78,0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.78,0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.78,0.26,1.00,-0.05,1.00,0.05,nan,0.00
1.53,1.00,0.78,0.37,1.00,-0.05,0.98,-0.15,nan,0.00
1.53,1.00,0.78,0.47,1.00,-0.05,0.98,0.05,nan,0.00
1.53,1.00,0.78,0.58,1.00,0.05,1.00,-0.05,nan,0.00
1.53,1.00,0.78,0.68,1.00,-0.05,0.99,-0.15,1.00,-10.00
1.53,1.00,0.78,0.79,1.00,0.05,0.98,-0.05,1.00,-10.00
1.53,1.00,0.78,0.89,1.00,0.05,0.98,0.05,1.00,-10.00
1.53,1.00,0.78,1.00,1.00,0.05,0.96,-0.25,1.00,-10.00
1.53,1.00,0.89,-1.00,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.89,-0.89,1.00,-0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.89,-0.79,1.00,0.05,1.00,-4.67,nan,0.00
1.53,1.00,0.89,-0.68,1.00,0.05,1.00,-2.76,nan,0.00
1.53,1.00,0.89,-0.58,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.89,-0.47,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.89,-0.37,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.89,-0.26,1.00,0.05,1.00,-2.76,nan,0.00
1.53,1.00,0.89,-0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.89,-0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.89,0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.89,0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.89,0.26,1.00,-0.05,1.00,-0.15,nan,0.00
1.53,1.00,0.89,0.37,1.00,-0.05,0.96,-0.15,nan,0.00
1.53,1.00,0.89,0.47,1.00,0.05,1.00,-0.05,nan,0.00
1.53,1.00,0.89,0.58,1.00,0.05,1.00,-0.15,1.00,-10.00
1.53,1.00,0.89,0.68,1.00,0.05,1.00,-0.05,1.00,-10.00
1.53,1.00,0.89,0.79,1.00,0.05,0.98,-0.05,1.00,-10.00
1.53,1.00,0.89,0.89,1.00,0.05,0.98,-0.15,1.00,-10.00
1.53,1.00,0.89,1.00,1.00,0.05,0.99,-0.05,nan,0.00
1.53,1.00,1.00,-1.00,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,1.00,-0.89,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,1.00,-0.79,1.00,0.25,1.00,-6.58,nan,0.00
1.53,1.00,1.00,-0.68,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,1.00,-0.58,1.00,0.05,1.00,-0.45,nan,0.00
1.53,1.00,1.00,-0.47,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,1.00,-0.37,1.00,0.05,1.00,-5.68,nan,0.00
1.53,1.00,1.00,-0.26,1.00,0.05,1.00,-0.45,nan,0.00
1.53,1.00,1.00,-0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,1.00,-0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,1.00,0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,1.00,0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,1.00,0.26,1.00,-0.05,1.00,0.05,nan,0.00
1.53,1.00,1.00,0.37,1.00,-0.05,0.97,-0.15,nan,0.00
1.53,1.00,1.00,0.47,1.00,-0.05,1.00,0.05,nan,0.00
1.53,1.00,1.00,0.58,1.00,0.05,1.00,-0.05,1.00,-10.00
1.53,1.00,1.00,0.68,1.00,0.05,0.99,-0.05,nan,0.00
1.53,1.00,1.00,0.79,1.00,0.05,0.96,-0.05,1.00,-10.00
1.53,1.00,1.00,0.89,1.00,0.05,0.97,-0.25,1.00,-10.00
1.53,1.00,1.00,1.00,1.00,0.05,0.98,-0.15,1.00,-10.00
1.53,1.11,0.00,-1.00,1.00,0.05,0.92,-0.65,0.95,-2.16
1.53,1.11,0.00,-0.89,1.00,0.05,0.93,-0.45,0.91,-1.86
1.53,1.11,0.00,-0.79,1.00,0.05,0.94,-0.35,0.99,-1.86
1.53,1.11,0.00,-0.68,1.00,0.05,0.95,-0.35,0.95,-1.86
1.53,1.11,0.00,-0.58,1.00,0.05,0.96,-0.35,0.97,-1.26
1.53,1.11,0.00,-0.47,1.00,0.05,0.95,-0.35,1.00,-1.86
1.53,1.11,0.00,-0.37,1.00,0.05,0.96,-0.35,1.00,-1.26
1.53,1.11,0.00,-0.26,1.00,0.05,0.96,-0.35,0.91,-1.36
1.53,1.11,0.00,-0.16,1.00,0.05,0.98,-0.35,1.00,-1.26
1.53,1.11,0.00,-0.05,1.00,0.05,0.97,-0.25,0.94,-1.36
1.53,1.11,0.00,0.05,1.00,0.05,0.98,-0.35,0.94,-1.86
1.53,1.11,0.00,0.16,1.00,0.05,0.98,-0.35,0.99,-0.85
1.53,1.11,0.00,0.26,1.00,-0.05,0.98,-0.35,0.92,-0.15
1.53,1.11,0.00,0.37,0.99,0.05,0.98,-0.35,0.89,-0.35
1.53,1.11,0.00,0.47,0.99,0.05,0.98,-0.25,0.97,-0.35
1.53,1.11,0.00,0.58,1.00,0.05,0.98,-0.25,0.90,-0.55
1.53,1.11,0.00,0.68,1.00,0.05,0.99,-0.35,0.83,-0.45
1.53,1.11,0.00,0.79,0.99,0.05,0.98,-0.45,0.82,-0.45
1.53,1.11,0.00,0.89,0.99,-0.05,0.98,-0.35,0.83,-0.55
1.53,1.11,0.00,1.00,0.99,-0.05,0.98,-0.45,0.81,-0.65
1.53,1.11,0.11,-1.00,1.00,0.05,0.93,-0.35,0.91,-2.76
1.53,1.11,0.11,-0.89,1.00,0.05,0.92,-0.35,0.92,-2.36
1.53,1.11,0.11,-0.79,1.00,0.05,0.95,-0.45,1.00,-1.86
1.53,1.11,0.11,-0.68,1.00,-0.15,0.94,-0.45,0.95,-1.86
1.53,1.11,0.11,-0.58,1.00,0.05,0.95,-0.55,0.95,-1.56
1.53,1.11,0.11,-0.47,1.00,0.05,0.95,-0.35,0.98,-1.36
1.53,1.11,0.11,-0.37,1.00,0.05,0.95,-0.35,1.00,-1.86
1.53,1.11,0.11,-0.26,1.00,0.05,0.97,-0.35,0.98,-1.36
1.53,1.11,0.11,-0.16,1.00,0.05,0.96,-0.35,0.98,-1.26
1.53,1.11,0.11,-0.05,1.00,0.05,0.96,-0.25,0.89,-0.85
1.53,1.11,0.11,0.05,1.00,0.05,0.97,-0.35,0.94,-1.86
1.53,1.11,0.11,0.16,1.00,0.05,0.97,-0.35,0.98,-0.85
1.53,1.11,0.11,0.26,1.00,0.05,0.98,-0.35,0.93,-0.15
1.53,1.11,0.11,0.37,1.00,0.05,0.98,-0.25,0.87,-0.85
1.53,1.11,0.11,0.47,1.00,-0.05,0.98,-0.35,0.91,-0.15
1.53,1.11,0.11,0.58,1.00,0.05,0.98,-0.35,0.90,-0.35
1.53,1.11,0.11,0.68,0.99,0.05,0.97,-0.25,0.88,-0.35
1.53,1.11,0.11,0.79,0.99,0.05,0.98,-0.35,0.90,-0.35
1.53,1.11,0.11,0.89,0.99,-0.05,0.98,-0.35,0.88,-0.45
1.53,1.11,0.11,1.00,0.99,0.05,0.98,-0.35,0.82,-0.15
1.53,1.11,0.22,-1.00,1.00,0.05,0.93,-0.35,0.98,-2.36
1.53,1.11,0.22,-0.89,1.00,0.05,0.94,-0.45,0.89,-2.36
1.53,1.11,0.22,-0.79,1.00,0.05,0.95,-0.35,1.00,-1.86
1.53,1.11,0.22,-0.68,1.00,0.05,0.95,-0.55,0.97,-1.86
1.53,1.11,0.22,-0.58,1.00,-0.15,0.95,-0.35,0.90,-1.56
1.53,1.11,0.22,-0.47,1.00,0.05,0.95,-0.25,1.00,-1.36
1.53,1.11,0.22,-0.37,1.00,0.05,0.95,-0.25,0.99,-1.56
1.53,1.11,0.22,-0.26,1.00,0.05,0.96,-0.45,0.93,-1.36
1.53,1.11,0.22,-0.16,1.00,-0.15,0.97,-0.35,1.00,-1.36
1.53,1.11,0.22,-0.05,1.00,0.05,0.96,-0.25,0.93,-1.26
1.53,1.11,0.22,0.05,1.00,0.05,0.97,-0.25,1.00,-0.85
1.53,1.11,0.22,0.16,1.00,0.05,0.97,-0.45,0.96,-0.85
1.53,1.11,0.22,0.26,1.00,0.05,0.97,-0.35,0.94,-0.15
1.53,1.11,0.22,0.37,1.00,0.05,0.98,-0.25,0.86,-0.25
1.53,1.11,0.22,0.47,1.00,0.05,0.99,-0.35,0.93,-0.15
1.53,1.11,0.22,0.58,1.00,0.05,0.99,-0.35,0.92,-0.85
1.53,1.11,0.22,0.68,0.99,0.05,0.99,-0.25,0.88,-0.15
1.53,1.11,0.22,0.79,0.99,-0.05,0.98,-0.25,0.86,-0.35
1.53,1.11,0.22,0.89,0.99,0.05,0.98,-0.35,0.84,-0.85
1.53,1.11,0.22,1.00,1.00,0.05,0.98,-0.45,0.89,-0.15
1.53,1.11,0.33,-1.00,1.00,0.25,0.93,-0.35,0.91,-2.36
1.53,1.11,0.33,-0.89,1.00,0.05,0.94,-0.35,0.91,-1.36
1.53,1.11,0.33,-0.79,1.00,0.05,0.94,-0.35,1.00,-1.86
1.53,1.11,0.33,-0.68,1.00,0.05,0.94,-0.45,0.94,-1.86
1.53,1.11,0.33,-0.58,1.00,0.05,0.95,-0.35,0.85,-1.86
1.53,1.11,0.33,-0.47,1.00,0.05,0.95,-0.35,1.00,-1.86
1.53,1.11,0.33,-0.37,1.00,-0.15,0.95,-0.35,1.00,-1.36
1.53,1.11,0.33,-0.26,1.00,0.05,0.95,-0.35,0.96,-1.86
1.53,1.11,0.33,-0.16,1.00,0.05,0.96,-0.35,0.94,-1.36
1.53,1.11,0.33,-0.05,1.00,0.05,0.96,-0.35,0.91,-1.86
1.53,1.11,0.33,0.05,1.00,0.05,0.98,-0.25,0.98,-1.36
1.53,1.11,0.33,0.16,1.00,0.05,0.97,-0.25,0.98,-0.85
1.53,1.11,0.33,0.26,1.00,-0.05,0.97,-0.35,0.88,-0.55
1.53,1.11,0.33,0.37,1.00,0.05,0.98,-0.25,0.96,-0.05
1.53,1.11,0.33,0.47,1.00,-0.05,0.98,-0.35,0.91,-0.05
1.53,1.11,0.33,0.58,1.00,0.05,0.98,-0.35,0.81,-0.85
1.53,1.11,0.33,0.68,1.00,0.05,0.98,-0.25,0.90,-0.45
1.53,1.11,0.33,0.79,1.00,0.05,0.98,-0.35,0.94,-0.35
1.53,1.11,0.33,0.89,1.00,0.05,0.99,-0.25,0.92,-0.25
1.53,1.11,0.33,1.00,0.99,0.05,0.98,-0.25,0.76,-0.85
1.53,1.11,0.44,-1.00,1.00,0.05,0.93,-0.45,0.91,-1.86
1.53,1.11,0.44,-0.89,1.00,0.05,0.93,-0.55,0.94,-1.26
1.53,1.11,0.44,-0.79,1.00,0.05,0.94,-0.35,0.98,-1.86
1.53,1.11,0.44,-0.68,1.00,0.05,0.95,-0.35,0.96,-2.76
1.53,1.11,0.44,-0.58,1.00,0.05,0.95,-0.35,0.93,-1.86
1.53,1.11,0.44,-0.47,1.00,0.05,0.95,-0.35,1.00,-1.86
1.53,1.11,0.44,-0.37,1.00,-0.05,0.96,-0.45,0.98,-1.86
1.53,1.11,0.44,-0.26,1.00,0.05,0.94,-0.35,0.96,-1.36
1.53,1.11,0.44,-0.16,1.00,0.05,0.96,-0.35,1.00,-1.86
1.53,1.11,0.44,-0.05,1.00,0.05,0.96,-0.25,1.00,-1.36
1.53,1.11,0.44,0.05,1.00,0.05,0.97,-0.25,0.97,-2.76
1.53,1.11,0.44,0.16,1.00,0.05,0.96,-0.35,0.92,-1.36
1.53,1.11,0.44,0.26,1.00,0.05,0.97,-0.35,0.97,-0.35
1.53,1.11,0.44,0.37,1.00,0.05,0.97,-0.35,0.95,-0.15
1.53,1.11,0.44,0.47,1.00,0.05,0.98,-0.25,0.87,-0.05
1.53,1.11,0.44,0.58,1.00,0.05,0.98,-0.25,0.87,-1.36
1.53,1.11,0.44,0.68,1.00,0.05,0.98,-0.25,0.85,-0.85
1.53,1.11,0.44,0.79,1.00,0.05,0.98,-0.35,0.77,-0.15
1.53,1.11,0.44,0.89,1.00,-0.05,0.98,-0.35,0.71,-0.25
1.53,1.11,0.44,1.00,1.00,0.05,0.98,-0.35,0.74,-0.25
1.53,1.11,0.56,-1.00,1.00,0.05,0.92,-0.65,0.94,-2.36
1.53,1.11,0.56,-0.89,1.00,0.05,0.92,-0.35,0.95,-1.56
1.53,1.11,0.56,-0.79,1.00,0.05,0.93,-0.35,0.98,-1.86
1.53,1.11,0.56,-0.68,1.00,0.05,0.93,-0.35,0.88,-1.86
1.53,1.11,0.56,-0.58,1.00,0.05,0.94,-0.35,0.91,-0.55
1.53,1.11,0.56,-0.47,1.00,0.05,0.95,-0.35,1.00,-1.86
1.53,1.11,0.56,-0.37,1.00,0.05,0.95,-0.55,0.97,-1.86
1.53,1.11,0.56,-0.26,1.00,0.05,0.95,-0.25,0.88,-0.85
1.53,1.11,0.56,-0.16,1.00,0.05,0.95,-0.45,1.00,-1.86
1.53,1.11,0.56,-0.05,1.00,0.05,0.96,-0.35,1.00,-1.36
1.53,1.11,0.56,0.05,1.00,0.05,0.96,-0.35,0.98,-1.36
1.53,1.11,0.56,0.16,1.00,0.05,0.97,-0.25,0.97,-1.36
1.53,1.11,0.56,0.26,1.00,0.05,0.96,-0.25,0.81,-0.15
1.53,1.11,0.56,0.37,1.00,-0.05,0.97,-0.45,0.96,-0.05
1.53,1.11,0.56,0.47,1.00,-0.05,0.97,-0.45,0.94,-0.05
1.53,1.11,0.56,0.58,1.00,0.05,0.98,-0.25,0.86,-0.15
1.53,1.11,0.56,0.68,1.00,0.05,0.98,-0.25,0.92,-0.85
1.53,1.11,0.56,0.79,1.00,0.05,0.98,-0.25,0.69,0.05
1.53,1.11,0.56,0.89,1.00,0.05,0.98,-0.25,0.83,-1.86
1.53,1.11,0.56,1.00,1.00,0.05,0.98,-0.35,0.76,-0.35
1.53,1.11,0.67,-1.00,1.00,0.05,0.93,-0.65,0.94,-2.76
1.53,1.11,0.67,-0.89,1.00,0.05,0.93,-0.75,0.92,-1.86
1.53,1.11,0.67,-0.79,1.00,0.05,0.93,-0.45,0.97,-1.86
1.53,1.11,0.67,-0.68,1.00,0.05,0.94,-0.35,0.98,-2.76
1.53,1.11,0.67,-0.58,1.00,-0.15,0.94,-0.25,0.91,-1.86
1.53,1.11,0.67,-0.47,1.00,0.05,0.94,-0.35,0.97,-3.77
1.53,1.11,0.67,-0.37,1.00,-0.05,0.95,-0.55,0.97,-1.86
1.53,1.11,0.67,-0.26,1.00,0.05,0.94,-0.35,0.91,-1.86
1.53,1.11,0.67,-0.16,1.00,0.05,0.96,-0.25,1.00,-1.86
1.53,1.11,0.67,-0.05,1.00,0.05,0.97,-0.35,1.00,-1.86
1.53,1.11,0.67,0.05,1.00,0.05,0.96,-0.25,1.00,-1.86
1.53,1.11,0.67,0.16,1.00,0.05,0.96,-0.25,0.95,-1.36
1.53,1.11,0.67,0.26,1.00,-0.05,0.97,-0.25,0.81,-1.36
1.53,1.11,0.67,0.37,1.00,0.05,0.97,-0.25,0.97,-0.05
1.53,1.11,0.67,0.47,1.00,0.05,0.97,-0.35,0.86,-0.05
